Front	JP訳	Label	説明
preliminary	予備の	語源／語根	pre（前）＋[ラテン] limin（境界）＋-ary（性質）
incidental	付随的な	語法	be incidental to（〜に付随する）【準頻出】
electron microscope	電子顕微鏡	語源／語根	electr（電気）＋[ギリシャ] micro（小）＋scope（見る）
embellish	飾る	語源／語根	em（中に）＋[ラテン] bell（美）＋-ish（する）
insensitive	鈍感な	語源／語根	in（否定）＋[ラテン] sens（感）＋-itive（性質）
elusive	理解しにくい	語源／語根	e（外へ）＋[ラテン] lus（遊）＋-ive（性質）
embryonic	胚の	語源／語根	em（中に）＋[ギリシャ] bry（発芽）＋-onic（性質）
freight	貨物	語法	freight charge（貨物運賃）【準頻出】
agent	代理人	語源／語根	ag（行う）＋[ラテン] ent（人）
accuse	非難する	語法	accuse A of B（AをBで非難する）【頻出】
creditor	債権者	語源／語根	cred（信）＋[ラテン] itor（人）
exploit	搾取する	語法	exploit resources（資源を搾取する）【頻出】
candor	率直さ	語源／語根	cand（白）＋[ラテン] or（性質）
shred	細片	語法	tear into shreds（細片に裂く）【準頻出】
foresight	先見	語源／語根	fore（前）＋[英語] sight（見る）
clemency	慈悲	語源／語根	clem（穏）＋[ラテン] ency（性質）
methodical	秩序立った	語源／語根	method（方法）＋[ギリシャ] ical（性質）
rectify	修正する	語法	rectify a mistake（誤りを修正する）【準頻出】
scrape	こすり取る	語法	scrape off（こすり取る）【準頻出】
precipitous	急勾配の	語源／語根	pre（前）＋[ラテン] cipit（頭）＋-ous（多い）
animate	活気づける	語法	animate a discussion（議論を活気づける）【準頻出】
baroque	バロック様式の	語源／語根	baro（不規則）＋[スペイン] que（様式）
junk	ガラクタ	語法	junk food（ジャンクフード）【まれ】
disintegrate	崩壊する	語源／語根	dis（分離）＋[ラテン] integr（全体）＋-ate（する）
nullify	無効にする	語法	nullify a contract（契約を無効にする）【準頻出】
myriad	無数の	語源／語根	myria（無数）＋[ギリシャ] d（数量）
phonetic	音声の	語源／語根	phon（音）＋[ギリシャ] etic（性質）
accelerate	加速する	語法	accelerate growth（成長を加速する）【頻出】
consequence	結果	語法	as a consequence of（〜の結果として）【頻出】
chaotic	混沌とした	語源／語根	chaos（混沌）＋[ギリシャ] tic（性質）
meticulously	細心の注意を払って	語法	work meticulously（細心の注意を払って働く）【準頻出】
poultry	家禽	語源／語根	poul（鳥）＋[フランス] try（業）
anthropology	人類学	語源／語根	anthropo（人間）＋[ギリシャ] logy（学問）
upheaval	激変	語源／語根	up（上）＋[英語] heaval（持ち上げ）
foster	育てる	語法	foster a child（子供を育てる）【準頻出】
credibility	信頼性	語源／語根	cred（信）＋[ラテン] ibility（性質）
impair	損なう	語法	impair health（健康を損なう）【準頻出】
exoskeleton	外骨格	語源／語根	exo（外）＋[ギリシャ] skeleton（骨格）
ellipse	楕円	語源／語根	ell（他）＋[ギリシャ] ipse（形）
thrifty	倹約的な	語呂合わせ	「スリフトで倹約」
grotesque	奇怪な	語源／語根	grotto（洞窟）＋[イタリア] esque（風）
precaution	予防策	語源／語根	pre（前）＋[ラテン] caution（注意）
latent	潜在的な	語法	latent talent（潜在的な才能）【準頻出】
liner	客船	語法	ocean liner（大型客船）【準頻出】
huddle	身を寄せ合う	語法	huddle together（共に身を寄せ合う）【準頻出】
besiege	包囲する	語法	besiege a city（都市を包囲する）【準頻出】
common sense	常識	語法	lack common sense（常識を欠く）【頻出】
indiscriminate	無差別の	語法	indiscriminate attack（無差別攻撃）【準頻出】
perish	死ぬ	語法	perish in the fire（火事で死ぬ）【準頻出】
touchy	敏感な	語法	be touchy about（〜に敏感である）【準頻出】
retiring	内気な	語源／語根	re（後ろ）＋[英語] tire（引く）＋ing（性質）
peril	危険	語源／語根	per（試み）＋[ラテン] il（状態）
