Front	JP訳	Label	説明
symbolic	象徴的な	語源／語根	sym（共に）＋[ギリシャ] bol（投げる）＋-ic
terminate	終わらせる	語法	terminate a contract（契約を終わらせる）【準頻出】
theme	主題	語源／語根	them（置く）＋-e
theory	理論	語源／語根	theor（見る）＋-y
thereby	それによって	語法	thereby doing（それによって〜する）【頻出】
thesis	論文	語源／語根	the（置く）＋-sis（状態）
trace	跡	語法	trace back to（〜に遡る）【頻出】
tradition	伝統	語源／語根	trans（越えて）＋[ラテン] dit（与える）＋-ion
transit	輸送	語源／語根	trans（越えて）＋[ラテン] it（行く）
transmit	伝える	語源／語根	trans（越えて）＋[ラテン] mit（送る）
undergo	経験する	語法	undergo surgery（手術を受ける）【頻出】
unify	統一する	語源／語根	uni（1つ）＋[ラテン] fic（作）＋-y（動詞）
unique	ユニークな	語源／語根	uni（1つ）＋[ラテン] que（性質）
utilize	利用する	語法	use A to do B（Aを使ってBする）【頻出】
valid	有効な	語源／語根	val（価値）＋[ラテン] id（形容詞）
variable	変わりやすい	語源／語根	vari（変化）＋[ラテン] able（可）
vehicle	乗り物	語呂合わせ	「ベーコンの入った乗り物」
version	版	紛らわしい語	紛らわしい語 diversion（気晴らし）
via	経由で	語法	via A（A経由で）【準頻出】
virtual	仮想の	語源／語根	virt（力）＋[ラテン] ual（形容詞）
visible	目に見える	語源／語根	vis（見る）＋[ラテン] ible（可）
voluntary	自発的な	語源／語根	volunt（意志）＋[ラテン] ary（形容詞）
